satellite,sensor,eodata_folder,level,eum_product_name,start_date,end_date,processor,status,timeliness,baseline_collection,source,example_file
S3,SRAL,SR_0_SRA,0,None,17/02/2023,18/02/2023,PS1,Original,NRT,4,ESA,S3A_SR_0_SRA____20230217T173428_20230217T174420_20230217T194103_0592_095_312______PS1_O_NR_004
S3,SRAL,SR_1_SRA,1,None,01/03/2016,31/01/2018,LR1,Reprocessed,NTC,3,ESA,S3A_SR_1_SRA____20160301T092017_20160301T093000_20180202T230137_0583_001_221______LR1_R_NT_003
S3,SRAL,SR_1_SRA,1,None,15/05/2016,15/04/2017,MR1,Reprocessed,NTC,2,EUM,S3A_SR_1_SRA____20160615T001643_20160615T010712_20170624T111206_3029_005_187______MR1_R_NT_002
S3,SRAL,SR_1_SRA,1,None,16/04/2017,14/06/2020,LN3,Original,NTC,3,ESA,S3A_SR_1_SRA____20170416T000918_20170416T005947_20170511T202302_3029_016_301______LN3_O_NT_002
S3,SRAL,SR_1_SRA,1,None,31/07/2018,08/07/2020,LN3,Original,STC,3,ESA,S3A_SR_1_SRA____20180731T004840_20180731T013910_20180801T161617_3029_034_088______LN3_O_ST_003
S3,SRAL,SR_1_SRA,1,None,15/06/2020,20/02/2023,LN3,Original,NTC,4,ESA,S3A_SR_1_SRA____20200614T001508_20200614T010537_20200709T195752_3029_059_216______LN3_O_NT_004
S3,SRAL,SR_1_SRA,1,None,09/07/2020,20/02/2023,LN3,Original,STC,4,ESA,S3A_SR_1_SRA____20200709T001700_20200709T010730_20200710T155429_3029_060_187______LN3_O_ST_004
S3,SRAL,SR_1_SRA,1,None,31/01/2022,20/02/2023,LN3,Original,NRT,4,ESA,S3A_SR_1_SRA____20220201T000015_20220201T001015_20220201T010036_0599_081_258______LN3_O_NR_004
S3,SRAL,SR_1_SRA___,1,None,18/02/2023,20/09/2023,PS1,Original,NTC,4,ESA,S3A_SR_1_SRA____20230218T190441_20230218T195510_20230317T233308_3028_095_327______PS1_O_NT_004
S3,SRAL,SR_1_SRA___,1,None,18/02/2023,20/09/2023,PS1,Original,STC,4,ESA,S3A_SR_1_SRA____20230218T190441_20230218T195510_20230220T085236_3028_095_327______PS1_O_ST_004
S3,SRAL,SR_1_SRA___,1,None,20/02/2023,20/09/2023,PS1,Original,NRT,4,ESA,S3A_SR_1_SRA____20230220T062440_20230220T063440_20230220T083730_0599_095_348______PS1_O_NR_004
S3,SRAL,SR_1_SRA_A,1,None,01/03/2016,01/02/2018,LR1,Reprocessed,NTC,3,ESA,S3A_SR_1_SRA_A__20160301T092105_20160301T092552_20180202T230137_0287_001_221______LR1_R_NT_003
S3,SRAL,SR_1_SRA_A,1,None,16/04/2017,31/01/2018,LN3,Original,NTC,2,ESA,S3A_SR_1_SRA_A__20170416T000918_20170416T005947_20170511T202302_3029_016_301______LN3_O_NT_002
S3,SRAL,SR_1_SRA_A,1,None,01/02/2018,13/06/2020,LN3,Original,NTC,3,ESA,S3A_SR_1_SRA_A__20180201T001455_20180201T010525_20180226T224911_3029_027_216______LN3_O_NT_003
S3,SRAL,SR_1_SRA_A,1,None,30/07/2018,07/07/2020,LN3,Original,STC,3,ESA,S3A_SR_1_SRA_A__20180730T230741_20180730T235811_20180801T162005_3029_034_087______LN3_O_ST_003
S3,SRAL,SR_1_SRA_A,1,None,14/06/2020,18/01/2023,LN3,Original,NTC,4,ESA,S3A_SR_1_SRA_A__20200614T001508_20200614T010537_20200709T195752_3029_059_216______LN3_O_NT_004
S3,SRAL,SR_1_SRA_A,1,None,08/07/2020,18/02/2023,LN3,Original,STC,4,ESA,S3A_SR_1_SRA_A__20200708T004311_20200708T013341_20200709T143803_3029_060_173______LN3_O_ST_004
S3,SRAL,SR_1_SRA_A_,1,None,24/01/2023,25/08/2023,PS1,Original,NTC,4,ESA,S3A_SR_1_SRA_A__20230124T062526_20230124T071556_20230220T092834_3029_094_348______PS1_O_NT_004
S3,SRAL,SR_1_SRA_A_,1,None,03/08/2023,18/09/2023,PS1,Original,STC,4,ESA,S3A_SR_1_SRA_A__20230803T003002_20230803T012031_20230804T141543_3029_101_373______PS1_O_ST_004
S3,SRAL,SR_1_SRA_A_,1,None,25/08/2023,today,PS1,Original,NTC,5,ESA,S3A_SR_1_SRA_A__20230825T083422_20230825T092451_20230920T111915_3029_102_306______PS1_O_NT_005
S3,SRAL,SR_1_SRA_A_,1,None,19/09/2023,today,PS1,Original,STC,5,ESA,S3A_SR_1_SRA_A__20230919T001121_20230919T010151_20230920T130153_3029_103_273______PS1_O_ST_005
S3,SRAL,SR_1_SRA_A_,1,None,20/09/2023,today,PS1,Original,NRT,5,ESA,S3A_SR_1_SRA_A__20230921T000241_20230921T001241_20230921T012457_0599_103_301______PS1_O_NR_005
S3,SRAL,SR_2_SRA_BS,1,None,01/03/2016,31/01/2018,LR1,Reprocessed,NTC,3,ESA,S3A_SR_1_SRA_BS_20160301T092105_20160301T092552_20180202T230137_0287_001_221______LR1_R_NT_003
S3,SRAL,SR_2_SRA_BS,1,None,16/04/2017,31/01/2018,LN3,Original,NTC,2,ESA,S3A_SR_1_SRA_BS_20170416T000918_20170416T005947_20170511T202302_3029_016_301______LN3_O_NT_002
S3,SRAL,SR_2_SRA_BS,1,None,01/02/2018,14/06/2020,LN3,Original,NTC,3,ESA,S3A_SR_1_SRA_BS_20180201T001455_20180201T010525_20180226T224911_3029_027_216______LN3_O_NT_003
S3,SRAL,SR_2_SRA_BS,1,None,31/07/2018,08/07/2020,LN3,Original,STC,3,ESA,S3A_SR_1_SRA_BS_20180731T004840_20180731T013910_20180801T161617_3029_034_088______LN3_O_ST_003
S3,SRAL,SR_2_SRA_BS,1,None,14/06/2020,18/08/2023,LN3,Original,NTC,4,ESA,S3A_SR_1_SRA_BS_20200708T004311_20200708T013341_20200802T213301_3029_060_173______LN3_O_NT_004
S3,SRAL,SR_2_SRA_BS,1,None,08/07/2020,18/09/2023,LN3,Original,STC,4,ESA,S3A_SR_1_SRA_BS_20200708T004311_20200708T013341_20200709T143803_3029_060_173______LN3_O_ST_004
S3,SRAL,SR_2_WAT,1,None,02/01/2017,16/11/2017,MAR,Original,NTC,2,EUM,S3A_SR_2_WAT____20170102T083415_20170102T092056_20170128T021926_2801_012_363______MAR_O_NT_002
S3,SRAL,SR_2_WAT,1,None,26/01/2017,31/10/2017,MAR,Original,STC,2,EUM,S3A_SR_2_WAT____20170126T095215_20170126T103929_20170128T031710_2834_013_321______MAR_O_ST_002
S3,SRAL,SR_2_WAT,1,None,28/01/2017,31/10/2017,MAR,Original,NRT,2,EUM,S3A_SR_2_WAT____20170128T003617_20170128T004505_20170128T020408_0528_013_344______MAR_O_NR_002
S3,SRAL,SR_2_WAT,1,None,16/11/2017,01/01/2020,MAR,Original,NTC,3,EUM,S3A_SR_2_WAT____20171116T170110_20171116T174924_20171213T211525_2893_024_283______MAR_O_NT_003
S3,SRAL,SR_2_WAT,1,None,16/07/2018,20/01/2020,MAR,Original,NRT,3,EUM,S3A_SR_2_WAT____20180717T000448_20180717T000527_20180717T021700_0038_033_273______MAR_O_NR_003
S3,SRAL,SR_2_WAT,1,None,16/07/2018,20/01/2020,MAR,Original,STC,3,EUM,S3A_SR_2_WAT____20180717T001118_20180717T005531_20180718T162745_2653_033_273______MAR_O_ST_003
S3,SRAL,SR_2_WAT,1,None,01/01/2020,13/06/2022,MAR,Original,NTC,4,EUM,S3A_SR_2_WAT____20200101T022703_20200101T031432_20200126T185951_2849_053_174______MAR_O_NT_004
S3,SRAL,SR_2_WAT,1,None,20/01/2020,06/07/2022,MAR,Original,STC,4,EUM,S3A_SR_2_WAT____20200120T000005_20200120T004431_20200121T182738_2666_054_059______MAR_O_ST_004
S3,SRAL,SR_2_WAT,1,None,22/01/2020,07/07/2022,MAR,Original,NRT,4,EUM,S3A_SR_2_WAT____20200122T000311_20200122T001119_20200122T013357_0488_054_087______MAR_O_NR_004
S3,SRAL,SR_2_WAT,1,None,13/06/2022,20/01/2023,MAR,Original,NTC,5,EUM,S3A_SR_2_WAT____20220613T001514_20220613T005934_20220708T183416_2660_086_216______MAR_O_NT_005
S3,SRAL,SR_2_WAT,1,None,06/07/2022,20/02/2023,MAR,Original,STC,5,EUM,S3A_SR_2_WAT____20220706T001858_20220706T010315_20220707T163249_2657_087_159______MAR_O_ST_005
S3,SRAL,SR_2_WAT,1,None,08/07/2022,20/02/2023,MAR,Original,NRT,5,EUM,S3A_SR_2_WAT____20220708T002153_20220708T003021_20220708T015719_0508_087_187______MAR_O_NR_005
S3,SRAL,SR_2_WAT___,1,None,20/01/2022,today,MAR,Original,NTC,5,EUM,S3A_SR_2_WAT____20220708T002153_20220708T010734_20220802T184140_2741_087_187______MAR_O_NT_005
S3,SRAL,SR_2_WAT___,1,None,18/02/2023,today,MAR,Original,STC,5,EUM,S3A_SR_2_WAT____20230218T163933_20230218T172341_20230220T084642_2648_095_325______MAR_O_ST_005 
S3,SRAL,SR_2_WAT___,1,None,20/02/2023,today,MAR,Original,NRT,5,EUM,S3A_SR_2_WAT____20230220T062441_20230220T063145_20230220T085248_0424_095_348______MAR_O_NR_005
